location_type,industry_hint,business_size,cleaning_needs_m2,budget_eur,prior_cleaning_machine,usage_frequency,dirt_type,eco_preference,price_sensitivity,customer_segment
urban,horeca,61,4753,3501,nu,zilnic,medie,nu,scazut,horeca
rural,retail,29,4309,1635,da,zilnic,usoara,da,scazut,firma_curatenie
periurban,industrial,468,90393,4480,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,firm_curatenie,117,4630,300,da,zilnic,medie,nu,mediu,firma_curatenie
urban,retail,7,372,1244,da,lunar,medie,nu,ridicat,horeca
urban,persoana_fizica,3,158,105,da,lunar,medie,nu,mediu,persoana_fizica
urban,industrial,66,922,7618,da,ocazional,greu,nu,ridicat,horeca
periurban,persoana_fizica,5,623,133,nu,saptamanal,greu,nu,mediu,persoana_fizica
urban,retail,17,2336,4153,nu,ocazional,usoara,nu,mediu,firma_curatenie
periurban,firm_curatenie,115,14315,1182,da,zilnic,usoara,da,mediu,firma_curatenie
urban,horeca,105,2472,6143,nu,zilnic,usoara,nu,ridicat,horeca
rural,firm_curatenie,123,2847,51,nu,saptamanal,medie,nu,ridicat,firma_curatenie
periurban,industrial,85,4247,6272,nu,lunar,medie,da,mediu,horeca
urban,retail,32,2084,2546,da,ocazional,medie,da,mediu,horeca
urban,retail,22,3507,1046,da,lunar,usoara,nu,mediu,persoana_fizica
urban,industrial,430,17322,3347,nu,saptamanal,medie,da,mediu,firma_curatenie
urban,firm_curatenie,135,2480,1738,da,lunar,medie,da,ridicat,persoana_fizica
urban,horeca,77,6534,3374,nu,zilnic,greu,nu,mediu,horeca
urban,firm_curatenie,126,11228,1063,nu,saptamanal,medie,da,mediu,firma_curatenie
urban,firm_curatenie,45,4305,2425,da,saptamanal,medie,da,mediu,firma_curatenie
urban,firm_curatenie,171,28576,2119,da,zilnic,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,2,57,262,nu,zilnic,medie,nu,ridicat,persoana_fizica
urban,horeca,134,19262,1706,da,lunar,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,27,2003,1590,da,saptamanal,medie,nu,scazut,firma_curatenie
urban,firm_curatenie,27,1860,3442,da,saptamanal,usoara,nu,ridicat,firma_curatenie
periurban,firm_curatenie,148,27703,1093,nu,saptamanal,usoara,nu,mediu,firma_curatenie
urban,industrial,18,1029,822,da,ocazional,usoara,da,mediu,horeca
urban,retail,15,1981,1742,nu,saptamanal,usoara,da,scazut,firma_curatenie
urban,industrial,421,26217,50,da,zilnic,usoara,nu,scazut,firma_curatenie
urban,horeca,55,5849,5509,da,saptamanal,greu,nu,mediu,horeca
urban,horeca,68,10838,2575,nu,lunar,usoara,nu,mediu,horeca
urban,retail,54,9586,2172,nu,zilnic,medie,nu,mediu,firma_curatenie
urban,horeca,42,7112,4113,da,saptamanal,usoara,nu,mediu,horeca
rural,horeca,104,12543,1911,nu,saptamanal,medie,da,scazut,firma_curatenie
rural,firm_curatenie,197,11283,1784,da,saptamanal,usoara,nu,scazut,firma_curatenie
periurban,firm_curatenie,150,20345,1248,nu,saptamanal,usoara,nu,scazut,firma_curatenie
urban,horeca,55,7968,367,da,lunar,usoara,nu,mediu,firma_curatenie
urban,horeca,141,1696,3076,nu,ocazional,medie,da,mediu,horeca
